,ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0006261,BP,GO:0006261,DNA-dependent DNA replication,16/335,159/20610,7.43552907624625e-09,2.70355837212314e-05,2.53825482044912e-05,RAD51/NUCKS1/TIPIN/CDC45/CDC6/RFC5/CDK2/MGME1/GINS2/BRCA2/POLE3/DBF4B/SENP2/SLBP/RFWD3/PURA,16
GO:0006260,BP,GO:0006260,DNA replication,18/335,290/20610,1.4012940106364e-06,0.00223777262424954,0.00210094859024991,RAD51/NUCKS1/TIPIN/CDC45/CDC6/GTPBP4/RFC5/CDK2/MGME1/GINS2/BRCA2/POLE3/DBF4B/TOPBP1/SENP2/SLBP/RFWD3/PURA,18
GO:0000070,BP,GO:0000070,mitotic sister chromatid segregation,13/335,159/20610,2.09983465720564e-06,0.00223777262424954,0.00210094859024991,CDC27/SEH1L/CDC6/NCAPG/TTK/MACROH2A1/VPS4B/NAA50/NUSAP1/CENPE/NCAPD3/BUB3/KIF18B,13
GO:0044786,BP,GO:0044786,cell cycle DNA replication,9/335,72/20610,2.46179606628112e-06,0.00223777262424954,0.00210094859024991,RAD51/TIPIN/CDC45/RFC5/BRCA2/POLE3/DBF4B/SENP2/SLBP,9
GO:0035690,BP,GO:0035690,cellular response to drug,21/335,409/20610,3.90921942057054e-06,0.00284278436263889,0.00266896812229689,CDK4/CDH1/RAD51/ACTB/SSH1/CAD/TFAP4/FOLR1/NR3C1/PDCD10/MYB/CDK2/KLF2/KLF4/SLC31A1/RHOB/TP53INP1/FBP1/AXL/JUP/ACER2,21
GO:0000076,BP,GO:0000076,DNA replication checkpoint,5/335,17/20610,5.80343337450714e-06,0.00323968247191681,0.00304159870778363,TIPIN/CDC45/CDC6/NAE1/TOPBP1,5
GO:0033260,BP,GO:0033260,nuclear DNA replication,8/335,61/20610,6.23701245968583e-06,0.00323968247191681,0.00304159870778363,RAD51/TIPIN/CDC45/RFC5/BRCA2/POLE3/DBF4B/SLBP,8
GO:0045787,BP,GO:0045787,positive regulation of cell cycle,21/335,426/20610,7.31471830108996e-06,0.00332453946784539,0.00312126729610983,CDK4/MAPRE3/AURKA/TFAP4/ZNF268/CDC45/CDC6/MACROH2A1/ARID3A/VPS4B/CDK2/SOX4/NUSAP1/BRCA2/DBF4B/TERT/CDK5R2/FOSL1/FOXO4/PBX1/TFDP1,21
GO:0000079,BP,GO:0000079,regulation of cyclin-dependent protein serine/threonine kinase activity,10/335,106/20610,9.01675805547916e-06,0.00335803556895541,0.00315271534657009,CDK4/CDKN3/ACTB/MAPRE3/TFAP4/CDC6/GTPBP4/CCNI/CCNJL/CDK5R2,10
GO:0044774,BP,GO:0044774,mitotic DNA integrity checkpoint,11/335,130/20610,9.23552136676405e-06,0.00335803556895541,0.00315271534657009,TIPIN/AURKA/CDC6/ARID3A/CDK2/SOX4/NAE1/TOPBP1/RFWD3/FOXO4/TFDP1,11
