EnsemblID,baseMean,baseMean_GroupA,baseMean_GroupB,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000113356,567.7134353,981.7285955,153.6982752,-2.67536851,0.54205444,-4.93560852,7.99E-07,0.026264336
ENSG00000100196,446.9308686,746.0803098,147.7814274,-2.336570254,0.546089195,-4.278733724,1.88E-05,0.114476246
ENSG00000144895,1819.187837,3067.789243,570.5864316,-2.426458408,0.570027694,-4.25673776,2.07E-05,0.114476246
ENSG00000159658,1938.963254,3132.500165,745.4263425,-2.071105491,0.486734839,-4.255100162,2.09E-05,0.114476246
ENSG00000196850,1763.928161,2853.364031,674.4922904,-2.080894858,0.488491056,-4.259842285,2.05E-05,0.114476246
ENSG00000169241,816.3609555,1301.212841,331.5090702,-1.9729908,0.504979175,-3.907073594,9.34E-05,0.403408498
ENSG00000175582,2754.750535,4303.302477,1206.198593,-1.834950116,0.471098355,-3.895046746,9.82E-05,0.403408498
ENSG00000109519,2149.756754,3335.534736,963.9787723,-1.790891175,0.475952065,-3.762755341,0.000168052,0.540156122
ENSG00000135446,3305.408587,5120.932212,1489.884961,-1.781217473,0.475689932,-3.744492686,0.000180759,0.540156122
ENSG00000100526,1581.069665,2622.639507,539.4998225,-2.28152435,0.619263622,-3.684253795,0.000229374,0.628311668
ENSG00000269343,350.5299983,568.6111552,132.4488414,-2.102233963,0.584311747,-3.597795141,0.000320926,0.811474317
ENSG00000172340,2396.434482,3761.218448,1031.650516,-1.866115876,0.524585228,-3.55731686,0.000374662,0.879679924
ENSG00000003989,1367.74242,1810.358161,925.1266792,-0.968477083,0.489827812,-1.97717863,0.048021442,0.99964765
ENSG00000004897,4742.053519,6731.869091,2752.237947,-1.290413598,0.491348351,-2.626270331,0.008632623,0.99964765
ENSG00000005100,2146.941597,2929.225172,1364.658022,-1.102116985,0.553330857,-1.991786598,0.046394477,0.99964765
ENSG00000008282,3730.938326,5696.658409,1765.218243,-1.690321525,0.518012052,-3.263093044,0.001102033,0.99964765
ENSG00000012660,4946.81411,7483.301904,2410.326315,-1.634467264,0.472535964,-3.458926699,0.000542332,0.99964765
ENSG00000021826,88.07579629,130.5499418,45.6016508,-1.520319688,0.746642706,-2.03620778,0.041729495,0.99964765
ENSG00000031691,620.5669764,1010.643554,230.4903987,-2.133163669,0.792901324,-2.690326785,0.007138208,0.99964765
ENSG00000047597,294.1053182,456.3548077,131.8558287,-1.792304628,0.906836709,-1.976435901,0.048105429,0.99964765
ENSG00000051180,629.3488201,928.0088197,330.6888206,-1.488969847,0.514366055,-2.894766934,0.003794401,0.99964765
ENSG00000055208,3368.594478,4678.778681,2058.410275,-1.184515597,0.533625681,-2.219749984,0.026435744,0.99964765
ENSG00000060749,3820.624976,5291.018934,2350.231018,-1.17076935,0.494732485,-2.366469527,0.017958653,0.99964765
ENSG00000067113,381.2760698,589.911475,172.6406645,-1.771886228,0.589935508,-3.003525309,0.002668714,0.99964765
ENSG00000067798,1036.760812,1543.394749,530.1268758,-1.541990466,0.553375317,-2.786518331,0.00532776,0.99964765
ENSG00000069275,17644.70358,24400.35282,10889.05434,-1.164038517,0.576307002,-2.019823657,0.043401682,0.99964765
ENSG00000070367,4169.350594,5921.106655,2417.594533,-1.292351094,0.511517297,-2.526505168,0.011520369,0.99964765
ENSG00000075131,1031.765489,1393.007626,670.5233509,-1.055006508,0.531038131,-1.98668692,0.046957102,0.99964765
ENSG00000075188,963.329475,1287.150971,639.5079785,-1.008952466,0.512906103,-1.967128992,0.049168342,0.99964765
