,SAMPLE_ID_S1_count.txt,SAMPLE_ID_S3_count.txt,SAMPLE_ID_S2_count.txt,SAMPLE_ID_S4_count.txt
ENSG00000223972,0.807218177,1.086956288,0,0
ENSG00000227232,102.5167085,96.73910963,106.7600094,86.59544291
ENSG00000278267,5.650527242,11.95651917,6.672500588,4.976749592
ENSG00000243485,0,0,0,0
ENSG00000284332,0,0,0,0
ENSG00000237613,0,0,0,0
ENSG00000268020,0,0,0,0
ENSG00000240361,0,0,0,0
ENSG00000186092,0,0,0,0
ENSG00000238009,0,0,4.448333725,0
ENSG00000239945,0,0,0,0
ENSG00000233750,3.22887271,0,6.672500588,0
ENSG00000268903,66.99910873,8.695650304,63.38875558,5.972099511
ENSG00000269981,41.16812705,0,53.3800047,1.990699837
ENSG00000239906,1.614436355,0,0,0
ENSG00000241860,6.45774542,8.695650304,17.7933349,15.9255987
ENSG00000222623,0,0,0,0
ENSG00000241599,0,0,0,0
ENSG00000279928,0,0,0,0
ENSG00000279457,205.8406353,102.1738911,230.2012703,110.483841
ENSG00000273874,0,0,0,0
ENSG00000228463,19.37323626,9.782606592,21.12958519,13.93489886
ENSG00000236679,0.807218177,0,2.224166863,0.995349918
ENSG00000236601,0,0,0,0
ENSG00000237094,35.51759981,6.521737728,48.93167098,13.93489886
ENSG00000269732,0,0,0,0
ENSG00000284733,0,0,0,0
ENSG00000233653,0,0,0,0.995349918
ENSG00000250575,0,0,0,3.981399674
ENSG00000278757,0.807218177,0,0,0
ENSG00000230021,2.421654532,17.39130061,13.34500118,8.958149266
ENSG00000235146,0,0,0,0
ENSG00000225972,38.74647252,91.30432819,53.3800047,85.60009299
ENSG00000225630,174.3591263,338.0434056,204.6233514,358.3259707
ENSG00000237973,1858.216245,1014.130217,2284.219368,1339.74099
ENSG00000278791,0,0,0,0
ENSG00000229344,107.3600176,295.6521103,176.8212656,287.6561264
ENSG00000240409,2.421654532,6.521737728,4.448333725,6.967449429
ENSG00000248527,5313.917262,10246.73693,6699.19059,12553.35317
ENSG00000198744,159.021981,352.1738373,204.6233514,390.177168
ENSG00000268663,0,0,0,0
ENSG00000284662,0,0,0,0
ENSG00000229376,0,1.086956288,0,0.995349918
ENSG00000228327,133.1909993,133.6956234,102.3116757,148.3071379
ENSG00000223181,0,0,0,0
ENSG00000229905,0,0,0,0
ENSG00000237491,19.37323626,11.95651917,10.00875088,38.81864682
ENSG00000285268,0,0,0,0
