Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
ENSG00000261456	TUBB8	10	-	46892	74163	0.104950	0.024908	0.061956
ENSG00000231601	AL157709.1	10	+	743992	744958	0.000000	0.000000	0.000000
ENSG00000015171	ZMYND11	10	+	134465	254637	6.712737	17.734377	44.113182
ENSG00000276662	AL713922.2	10	-	147820	148751	0.000000	0.000000	0.000000
ENSG00000212331	RNA5SP297	10	-	154831	154943	0.000000	0.000000	0.000000
ENSG00000151240	DIP2C	10	-	274190	689668	10.314015	3.219610	8.008583
ENSG00000201861	RNA5SP298	10	-	282015	282125	0.000000	0.000000	0.000000
ENSG00000239822	RN7SL754P	10	-	430239	430504	0.000000	0.000000	0.000000
ENSG00000233021	AL669841.1	10	+	437561	441170	0.000000	0.000000	0.000000
ENSG00000225140	AL358216.1	10	+	628638	631255	0.668075	0.129672	0.322551
ENSG00000263511	MIR5699	10	-	641689	641778	0.000000	0.000000	0.000000
ENSG00000180525	PRR26	10	+	649948	669581	0.505353	0.125106	0.311194
ENSG00000229869	AL359878.2	10	+	933026	942743	0.000000	0.000000	0.000000
ENSG00000107929	LARP4B	10	-	806914	931705	12.309098	13.917148	34.618057
ENSG00000229205	LINC00200	10	+	1159768	1180923	0.000000	0.000000	0.000000
ENSG00000185736	ADARB2	10	-	1177313	1737525	0.070835	0.142799	0.355203
ENSG00000282390	AL392083.1	10	-	1290018	1293002	0.000000	0.000000	0.000000
ENSG00000233052	AL513304.1	10	-	1361001	1361637	0.000000	0.000000	0.000000
ENSG00000205696	ADARB2-AS1	10	+	1526637	1556984	0.000000	0.000000	0.000000
ENSG00000205740	AL359878.1	10	-	971146	988341	0.413779	0.128440	0.319486
ENSG00000107937	GTPBP4	10	+	988434	1019932	55.118904	23.105612	57.473797
ENSG00000148377	IDI2	10	-	1018910	1025859	0.000000	0.000000	0.000000
ENSG00000232656	IDI2-AS1	10	+	1022666	1044201	0.297170	0.082143	0.204325
ENSG00000067064	IDI1	10	-	1039152	1049170	34.582005	14.406125	35.834358

